SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
519126,HIND.FOODS  ,A ,Q,1919.00,1919.00,1896.90,1915.80,1919.00,1914.75,218,694,1327486.00,,INE254N01018,06-Jan-22,,
519136,NAHAR INDUST,B ,Q,137.50,141.40,133.00,141.40,141.40,134.70,720,30866,4325901.00,,INE289A01011,06-Jan-22,,
519152,VADILAL ENT ,XT,Q,1620.00,1640.00,1484.40,1484.40,1484.40,1562.50,4,6,9664.00,,INE693D01018,06-Jan-22,,
519156,VADILAL IND ,B ,Q,959.35,979.15,954.65,960.15,959.00,970.80,229,2011,1952357.00,,INE694D01016,06-Jan-22,,
519174,ASHIANA AGRO,XT,Q,14.05,14.05,13.50,13.50,13.50,14.20,31,1756,23824.00,,INE709D01012,06-Jan-22,,
519183,ADF FOODS LT,B ,Q,880.00,902.95,864.25,878.20,877.20,883.35,799,5527,4888824.00,,INE982B01019,06-Jan-22,,
519191,RGRL        ,X ,Q,15.50,16.00,15.00,15.45,15.45,15.50,406,85831,1323959.00,,INE601N01010,06-Jan-22,,
519216,AJANTA SOYA ,X ,Q,236.25,236.25,230.10,231.10,231.10,228.65,762,47991,11161081.00,,INE601B01015,06-Jan-22,,
519224,WILLIAM.MAGO,B ,Q,26.15,26.95,25.95,26.55,26.55,26.15,52,6874,183006.00,,INE210A01017,06-Jan-22,,
519230,RICHIRICH   ,XT,Q,5.12,5.12,5.12,5.12,5.12,5.38,10,8110,41523.00,,INE102C01020,06-Jan-22,,
519234,SIEL        ,XT,Q,26.85,29.65,26.85,27.00,28.90,28.25,22,1911,54714.00,,INE843L01012,06-Jan-22,,
519242,SARDA PROT. ,XT,Q,35.60,35.60,35.60,35.60,35.60,35.70,1,1,35.00,,INE995U01011,06-Jan-22,,
519260,SANWARIA    ,Z ,Q,1.65,1.69,1.61,1.69,1.69,1.61,2717,7440880,12487560.00,,INE890C01046,06-Jan-22,,
519262,PRIMA AGRO L,XT,Q,35.00,38.45,34.85,37.05,37.05,36.65,72,7566,284536.00,,INE297D01018,06-Jan-22,,
519279,MADHUR IND  ,X ,Q,5.35,5.35,5.35,5.35,5.35,5.10,1,400,2140.00,,INE110C01015,06-Jan-22,,
519285,TARAI FOODS ,XT,Q,7.60,7.98,7.26,7.98,7.98,7.60,66,11764,91737.00,,INE906C01016,06-Jan-22,,
519287,MODERN DAIRI,X ,Q,11.65,12.50,11.54,12.06,12.09,12.14,164,28865,341936.00,,INE617B01011,06-Jan-22,,
519295,BAMBINO AGRO,X ,Q,285.55,306.30,285.50,296.75,297.00,295.40,187,8400,2524520.00,,INE921D01013,06-Jan-22,,
519299,PRIME INDS. ,Z ,Q,10.37,10.37,10.37,10.37,10.37,10.91,51,4874,50543.00,,INE543F01028,06-Jan-22,,
519307,VIKAS WSP   ,B ,Q,4.90,5.14,4.68,5.12,5.12,4.91,1902,2703934,13627397.00,,INE706A01022,06-Jan-22,,
519331,VSF PROJ    ,X ,Q,46.10,46.10,46.10,46.10,46.10,43.95,32,10054,463489.00,,INE923K01014,06-Jan-22,,
519359,POONA DAL   ,X ,Q,56.00,56.00,51.55,52.20,52.95,54.50,95,7175,378036.00,,INE809E01018,06-Jan-22,,
519367,TRANSGL.FOOD,XT,Q,80.00,80.00,80.00,80.00,80.00,80.00,6,51,4080.00,,INE213P01027,06-Jan-22,,
519383,ANIK INDS   ,B ,Q,32.80,32.80,30.05,32.80,32.80,31.25,271,60827,1964377.00,,INE087B01017,06-Jan-22,,
519397,SHARAT INDUS,XT,Q,56.40,57.25,56.40,57.25,57.25,56.65,4,802,45437.00,,INE220Z01013,06-Jan-22,,
519421,KSE LIMITED ,XT,Q,2121.05,2189.00,2121.05,2174.75,2160.00,2181.50,31,146,316879.00,,INE953E01014,06-Jan-22,,
519455,NARBADA     ,X ,Q,32.95,36.10,32.60,33.50,33.50,34.25,41,1909,65841.00,,INE540C01021,06-Jan-22,,
519457,VIRAT CRANE ,X ,Q,38.05,39.20,36.00,38.45,38.45,39.40,79,10941,415934.00,,INE295C01014,06-Jan-22,,
519475,CHORDIA FOOD,X ,Q,130.00,134.75,128.00,133.00,133.00,128.90,16,842,109517.00,,INE975C01011,06-Jan-22,,
519477,CIANAGRO    ,XT,Q,66.35,66.35,66.35,66.35,66.35,63.20,16,2876,190822.00,,INE052V01019,06-Jan-22,,
519483,TAI INDUST. ,X ,Q,27.30,31.40,27.30,30.45,30.45,29.80,41,3162,95860.00,,INE358D01018,06-Jan-22,,
519494,N K INDUST. ,B ,Q,43.10,43.20,43.10,43.20,43.20,41.15,15,2826,122041.00,,INE542C01019,06-Jan-22,,
519500,BKV INDUSTRS,XT,Q,10.28,10.28,10.28,10.28,10.28,10.82,11,3831,39382.00,,INE356C01022,06-Jan-22,,
519532,ASIAN TEA   ,X ,Q,20.90,21.30,20.25,21.10,21.10,20.60,534,81100,1691492.00,,INE822B01017,06-Jan-22,,
519552,HERITGFOOD  ,A ,Q,411.00,417.00,407.25,408.80,408.00,413.65,1117,10136,4165735.00,,INE978A01027,06-Jan-22,,
519566,SIMRAN FARMS,X ,Q,189.40,190.50,180.00,187.70,190.00,185.00,241,23416,4336267.00,,INE354D01017,06-Jan-22,,
519588,DFM FOODS   ,B ,Q,299.80,312.75,286.00,291.50,287.65,297.10,982,12027,3608676.00,,INE456C01020,06-Jan-22,,
519600,CCL PRODUCTS,A ,Q,417.00,421.95,410.60,419.35,419.35,419.30,1044,18425,7646962.00,,INE421D01022,06-Jan-22,,
519602,KELLTONTEC  ,B ,Q,65.55,71.00,64.80,70.05,70.05,66.40,3951,465108,32014194.00,,INE164B01022,06-Jan-22,,
519604,SURYO FOODS ,XT,Q,10.67,10.67,10.17,10.17,10.17,10.17,25,5714,58400.00,,INE565E01016,06-Jan-22,,
519612,MAHAAN FOODS,X ,Q,22.65,24.00,22.60,23.30,23.25,22.65,51,7045,163455.00,,INE734D01010,06-Jan-22,,
520008,RICO AUTO   ,B ,Q,44.40,46.15,43.60,45.45,45.45,44.35,2007,144628,6468957.00,,INE209B01025,06-Jan-22,,
520021,OMAX AUTOS. ,B ,Q,50.00,50.90,48.55,49.85,49.85,49.55,79,2178,107537.00,,INE090B01011,06-Jan-22,,
520043,MUNJAL SHOWA,B ,Q,129.05,130.85,127.95,130.45,129.80,130.60,174,5339,689903.00,,INE577A01027,06-Jan-22,,
520051,JAMNA AUTO  ,A ,Q,102.25,105.20,100.00,104.55,104.55,102.50,2056,120039,12427178.00,,INE039C01032,06-Jan-22,,
520056,SUNDAR.CLAY ,A ,Q,3828.60,3850.30,3806.95,3822.70,3840.85,3816.50,75,141,539222.00,,INE105A01035,06-Jan-22,,
520057,JTEKTINDIA  ,A ,Q,92.10,93.80,91.65,93.25,93.35,92.10,340,10523,979114.00,,INE643A01035,06-Jan-22,,
520059,MUNAUTO     ,B ,Q,53.00,55.00,52.95,53.85,53.85,53.30,276,21942,1183147.00,,INE672B01032,06-Jan-22,,
520066,JAYBH.MARUTI,B ,Q,181.40,190.55,181.40,185.40,185.50,184.00,315,6957,1297294.00,,INE571B01028,06-Jan-22,,
520073,RACLGEAR    ,X ,Q,636.00,677.00,630.00,671.30,671.30,639.95,402,10145,6654269.00,,INE704B01017,06-Jan-22,,
