SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
530215,KINGSINFRA  ,X ,Q,35.05,35.15,34.50,35.05,35.10,34.90,157,83646,2915853.00,,INE050N01010,06-Jan-22,,
530219,NUTRICIRCLE ,X ,Q,74.85,74.85,74.85,74.85,74.85,74.85,2,3,224.00,,INE536C01029,06-Jan-22,,
530231,SUBHASH SILK,XT,Q,31.65,31.65,28.65,31.60,31.60,30.15,24,2357,73335.00,,INE690D01014,06-Jan-22,,
530233,AURO LAB.   ,X ,Q,123.75,134.80,119.40,129.40,129.40,122.90,271,18888,2398702.00,,INE292C01011,06-Jan-22,,
530235,KJMC FIN.   ,X ,Q,28.00,28.00,28.00,28.00,28.00,28.00,2,51,1428.00,,INE533C01018,06-Jan-22,,
530239,SUVEN LIFE S,B ,Q,89.90,90.10,88.60,89.25,89.65,90.15,1012,55976,5004852.00,,INE495B01038,06-Jan-22,,
530245,ARYAMAN FIN.,X ,Q,47.35,50.00,46.20,49.85,49.90,49.95,21,362,17560.00,,INE032E01017,06-Jan-22,,
530249,BRIDGE SECUR,XT,Q,23.65,26.05,23.65,26.05,26.05,24.85,932,111787,2746695.00,,INE958C01017,06-Jan-22,,
530253,RAJ.TUBE MFG,X ,Q,20.85,20.85,20.80,20.80,20.80,20.85,2,200,4160.00,,INE497E01012,06-Jan-22,,
530255,KAY POW PAP ,XT,Q,8.15,8.15,8.05,8.15,8.15,7.77,54,6858,55832.00,,INE961B01013,06-Jan-22,,
530259,INTER ST.OIL,X ,Q,39.75,39.75,36.05,39.75,39.75,37.90,232,36079,1401048.00,,INE003B01014,06-Jan-22,,
530263,GLOBAL CAP. ,Z ,Q,5.65,5.65,5.15,5.65,5.65,5.39,94,26748,147013.00,,INE062C01034,06-Jan-22,,
530265,SAINIK FIN. ,X ,Q,30.25,30.25,27.45,27.50,27.50,28.85,49,6044,167641.00,,INE584B01013,06-Jan-22,,
530267,SABOO BROS. ,XT,Q,22.05,22.05,22.05,22.05,22.05,23.10,3,135,2976.00,,INE021N01011,06-Jan-22,,
530289,SP CAPITAL  ,X ,Q,35.00,35.00,31.75,33.55,34.00,33.40,287,47338,1531255.00,,INE102F01015,06-Jan-22,,
530291,PAOS        ,XT,Q,6.79,6.79,6.79,6.79,6.79,7.14,27,3634,24674.00,,INE791C01012,06-Jan-22,,
530299,KOTHARI PROD,B ,Q,110.00,110.65,106.10,107.15,106.10,109.70,214,7092,767768.00,,INE823A01017,06-Jan-22,,
530305,PICCADILY AG,X ,Q,30.00,31.90,29.80,30.25,30.25,31.20,785,198292,6091212.00,,INE546C01010,06-Jan-22,,
530307,CHAMANLAL SE,B ,Q,104.25,104.95,101.00,103.15,103.25,102.60,614,24909,2583944.00,,INE419D01026,06-Jan-22,,
530309,CHANDRA PRAB,X ,Q,131.65,142.90,131.65,142.30,142.90,137.75,153,6947,966041.00,,INE368D01017,06-Jan-22,,
530313,KIMIABL     ,X ,Q,57.05,58.50,55.00,58.20,58.00,55.95,214,17649,1009619.00,,INE285U01025,06-Jan-22,,
530315,HIND.TIN WRK,X ,Q,109.00,110.00,106.05,107.30,108.90,108.10,136,7171,775805.00,,INE428D01019,06-Jan-22,,
530317,GODAVARI DRU,X ,Q,68.20,70.45,66.10,67.60,68.00,68.50,355,31139,2134763.00,,INE362C01012,06-Jan-22,,
530331,PREMCO GLOB.,X ,Q,505.00,505.00,492.05,501.60,503.95,495.00,31,834,416439.00,,INE001E01012,06-Jan-22,,
530341,MUKESH BABU ,X ,Q,128.00,129.00,123.85,128.95,128.95,128.00,17,675,85651.00,,INE596B01017,06-Jan-22,,
530343,GENUS POWER ,A ,Q,69.30,71.10,69.20,70.25,69.80,70.35,1241,72890,5126268.00,,INE955D01029,06-Jan-22,,
530355,ASIANENE    ,B ,Q,139.15,139.95,136.05,138.30,138.30,140.70,710,19927,2758611.00,,INE276G01015,06-Jan-22,,
530357,KBS INDIA   ,X ,Q,9.56,10.48,9.56,10.48,10.48,9.99,20,3703,38669.00,,INE883D01015,06-Jan-22,,
530363,UGAR SUGAR  ,B ,Q,31.80,35.20,31.75,34.05,34.25,32.30,1570,271473,9322094.00,,INE071E01023,06-Jan-22,,
530365,ORIENTBELL  ,B ,Q,345.85,356.55,343.35,348.10,348.00,352.90,127,2415,846583.00,,INE607D01018,06-Jan-22,,
530367,NRB BEARINGS,B ,Q,183.95,186.40,179.90,181.65,181.10,183.35,2875,86675,15820941.00,,INE349A01021,06-Jan-22,,
530369,VAMSHI RUBB.,X ,Q,26.25,26.25,24.70,26.15,26.15,26.00,13,1214,31205.00,,INE380C01014,06-Jan-22,,
530377,NILA INFRA. ,B ,Q,6.80,7.38,6.68,7.38,7.38,7.03,449,452263,3289840.00,,INE937C01029,06-Jan-22,,
530393,DB INT.ST.BR,T ,Q,40.75,40.85,40.75,40.85,40.85,38.95,36,1776,72519.00,,INE921B01025,06-Jan-22,,
530401,VINYOFLEX LT,XT,Q,32.95,32.95,30.00,32.05,32.05,31.55,21,1679,53734.00,,INE526H01011,06-Jan-22,,
530405,JINDAL CAP. ,X ,Q,21.85,22.00,21.05,22.00,22.00,21.90,35,4403,95084.00,,INE356F01017,06-Jan-22,,
530407,EPIC ENERGY ,X ,Q,8.82,8.86,8.51,8.86,8.86,8.44,91,28351,245779.00,,INE932F01015,06-Jan-22,,
530419,SUMEDHA FISC,X ,Q,41.00,44.10,39.00,41.10,41.10,39.35,869,242322,10203300.00,,INE886B01012,06-Jan-22,,
530421,KUWER INDS. ,X ,Q,7.51,8.24,7.51,8.24,8.24,7.85,72,16873,136828.00,,INE430F01010,06-Jan-22,,
530427,CHOKSI IMAG ,X ,Q,43.55,46.30,43.55,44.95,44.85,44.15,137,15076,683630.00,,INE865B01016,06-Jan-22,,
530429,ASHISH POLY.,X ,Q,17.85,17.85,17.20,17.30,17.30,17.90,10,1327,23645.00,,INE831C01016,06-Jan-22,,
530431,ADOR FONTECH,X ,Q,75.00,77.40,74.00,75.75,76.00,75.65,406,40642,3080799.00,,INE853A01022,06-Jan-22,,
530433,SHIVA FERT. ,X ,Q,84.80,84.80,78.25,82.35,81.50,83.00,102,22673,1846276.00,,INE960E01019,06-Jan-22,,
530439,SIDDHA VEN  ,XT,Q,11.31,11.31,11.00,11.31,11.31,10.78,387,121707,1373575.00,,INE140C01012,06-Jan-22,,
530443,KIRAN SYNTEX,X ,Q,5.90,5.90,5.90,5.90,5.90,5.62,3,459,2708.00,,INE293D01017,06-Jan-22,,
530445,SUMERU IND  ,XT,Q,3.78,3.78,3.78,3.78,3.78,3.60,23,20530,77603.00,,INE764B01029,06-Jan-22,,
530449,RUNGTA IRRIG,XT,Q,26.80,28.20,26.80,28.20,28.05,27.90,6,252,7075.00,,INE347C01013,06-Jan-22,,
530459,VALSON INDUS,X ,Q,25.25,26.95,24.80,25.25,25.05,25.90,75,9883,249873.00,,INE808A01018,06-Jan-22,,
530461,SABOO SODIUM,X ,Q,23.60,23.60,23.60,23.60,23.60,22.50,77,69342,1636471.00,,INE440C01016,06-Jan-22,,
530469,GSL SECUR.  ,X ,Q,9.25,9.50,9.00,9.41,9.50,9.06,51,8421,79591.00,,INE721D01017,06-Jan-22,,
530475,TINNARUBR   ,X ,Q,212.25,212.25,212.25,212.25,212.25,202.15,16,5941,1260977.00,,INE015C01016,06-Jan-22,,
530477,VIKRAM THERM,X ,Q,203.80,205.90,197.55,202.30,203.00,199.80,245,17393,3526821.00,,INE337E01010,06-Jan-22,,
530495,STRATMONT   ,X ,Q,18.60,19.50,17.70,17.70,17.70,18.60,21,2797,51211.00,,INE473C01025,06-Jan-22,,
530499,A.K.CAPITAL ,X ,Q,429.85,429.90,423.05,427.30,429.75,430.00,19,438,186592.00,,INE701G01012,06-Jan-22,,
530517,RELAXO FOOT.,A ,Q,1355.00,1361.75,1327.40,1347.55,1340.00,1337.80,1716,8783,11853404.00,,INE131B01039,06-Jan-22,,
530521,VIRAT INDUS.,X ,Q,80.35,83.00,76.20,81.55,80.65,81.10,66,3516,281728.00,,INE467D01017,06-Jan-22,,
530525,SHEETAL DIAM,XT,Q,12.36,13.66,12.36,13.66,13.66,13.01,765,330867,4227097.00,,INE786J01025,06-Jan-22,,
530533,TERAI TEA CO,X ,Q,57.40,57.40,54.00,54.00,54.00,54.30,22,2578,142103.00,,INE390D01011,06-Jan-22,,
530545,COSCO INDIA ,X ,Q,157.00,165.00,157.00,160.75,160.10,158.75,36,1922,309793.00,,INE949B01018,06-Jan-22,,
530549,SHILPA MEDIC,A ,Q,569.40,579.00,542.55,566.50,566.40,572.40,737,5408,3078858.00,,INE790G01031,06-Jan-22,,
530555,PARAMOUNT CO,T ,Q,14.50,14.50,13.70,13.93,14.10,14.19,179,33516,468790.00,,INE074B01023,06-Jan-22,,
530557,NCL RESEARCH,X ,Q,1.94,1.94,1.94,1.94,1.94,1.85,1132,2259444,4383321.00,,INE132F01038,06-Jan-22,,
530571,EXPLICIT FIN,XT,Q,4.00,4.15,4.00,4.15,4.15,4.09,8,2915,11952.00,,INE335G01019,06-Jan-22,,
530577,LADDERUP FIN,X ,Q,24.75,24.75,23.35,23.40,23.35,23.60,10,515,12075.00,,INE519D01015,06-Jan-22,,
530579,UYFINCORP   ,X ,Q,16.45,16.45,15.85,16.20,16.20,16.20,258,60820,980060.00,,INE152C01025,06-Jan-22,,
530581,EKAM LEASING,X ,Q,7.60,7.60,7.60,7.60,7.60,7.97,19,4671,35499.00,,INE906L01025,06-Jan-22,,
530585,SWASTIK INV ,XT,Q,166.60,183.90,166.45,173.70,173.70,175.20,49,9283,1548154.00,,INE691C01014,06-Jan-22,,
530589,PRIMA PLASTI,X ,Q,108.00,111.00,105.00,110.20,109.35,108.05,92,5489,599485.00,,INE573B01016,06-Jan-22,,
530595,TELECANOR   ,XT,Q,8.80,8.80,8.36,8.79,8.79,8.80,35,2179,18407.00,,INE381G01013,06-Jan-22,,
530609,CARNATION IN,X ,Q,6.90,7.03,6.90,7.03,7.03,6.70,10,4425,30842.00,,INE081B01010,06-Jan-22,,
530611,STURDY INDS ,XT,Q,0.56,0.56,0.56,0.56,0.56,0.54,31,1098182,614981.00,,INE134F01026,06-Jan-22,,
530615,GARG FURNACE,XT,Q,19.00,19.15,17.40,19.10,19.10,18.25,29,4476,84967.00,,INE194E01015,06-Jan-22,,
530617,SAMPRE NUTRI,XT,Q,35.70,35.80,35.50,35.50,35.50,34.10,18,2074,74183.00,,INE375C01014,06-Jan-22,,
530621,AAIL        ,X ,Q,56.00,59.85,55.20,57.65,57.65,57.20,151,24642,1432612.00,,INE864E01021,06-Jan-22,,
530627,VIPULORG    ,X ,Q,170.00,170.00,162.60,164.20,164.95,169.05,133,5522,917197.00,,INE834D01018,06-Jan-22,,
530643,ECORECO     ,X ,Q,139.00,141.95,138.00,141.95,141.95,135.20,441,55527,7851515.00,,INE316A01038,06-Jan-22,,
530655,GOODLUCK    ,B ,Q,367.70,386.05,362.25,385.45,383.00,367.70,1734,45269,17141637.00,,INE127I01024,06-Jan-22,,
530663,GOYAL ASSO. ,XT,Q,3.93,4.12,3.81,4.01,4.09,3.93,190,109026,429772.00,,INE912B01032,06-Jan-22,,
530665,ZENITH HEALT,XT,Q,8.30,9.14,8.28,9.14,9.14,8.71,1034,269444,2398885.00,,INE812B01026,06-Jan-22,,
530675,YORK EXPORTS,XT,Q,42.05,44.00,42.05,43.00,43.00,44.25,24,1220,51871.00,,INE057Q01018,06-Jan-22,,
530677,SUPREME HO  ,X ,Q,16.60,17.50,16.30,16.70,17.00,16.95,104,111286,1871122.00,,INE822E01011,06-Jan-22,,
530689,LYKISLTD    ,X ,Q,38.85,40.20,38.20,39.60,39.90,39.60,116,15179,596874.00,,INE624M01014,06-Jan-22,,
530695,PRIME PROP  ,XT,Q,19.55,19.60,18.00,18.80,18.80,18.70,37,7617,140245.00,,INE233C01023,06-Jan-22,,
530697,ZENLABS     ,X ,Q,42.75,42.75,40.40,40.95,40.75,41.90,123,15959,661037.00,,INE546F01013,06-Jan-22,,
530709,GOWRA LEASNG,XT,Q,27.20,27.95,25.50,25.75,27.85,26.65,28,1816,49298.00,,INE225G01012,06-Jan-22,,
530711,JAGAN LAMPS ,X ,Q,69.50,70.80,69.00,69.90,69.90,69.80,88,4840,337218.00,,INE144C01014,06-Jan-22,,
530713,AJEL        ,Z ,Q,13.30,14.60,13.30,14.60,14.60,13.95,154,24195,345996.00,,INE229B01015,06-Jan-22,,
530723,ASIT C FIN  ,X ,Q,220.00,229.90,219.20,224.55,220.00,230.70,14,875,194527.00,,INE041B01014,06-Jan-22,,
530733,NOVAPUBLIC  ,X ,Q,9.09,9.09,8.90,8.90,8.90,8.69,12,819,7349.00,,INE900O01014,06-Jan-22,,
530735,SUPER BAKERS,X ,Q,10.80,10.80,10.80,10.80,10.80,10.29,9,1678,18122.00,,INE897A01011,06-Jan-22,,
530741,OVOBEL FOODS,P ,Q,30.00,30.00,30.00,30.00,30.00,30.00,3,500,15000.00,,INE812S01012,06-Jan-22,,
530747,INDO ASN.FIN,XT,Q,15.95,15.95,15.90,15.90,15.90,16.70,53,3798,60388.00,,INE807A01010,06-Jan-22,,
530755,CORAL NEWSPR,XT,Q,10.47,10.47,10.35,10.47,10.47,9.98,143,51815,542443.00,,INE715D01019,06-Jan-22,,
530759,STERL.TOOLS ,B ,Q,182.65,194.00,182.65,190.10,190.25,183.55,420,4403,833370.00,,INE334A01023,06-Jan-22,,
530777,INFRA INDUS.,Z ,Q,6.37,6.37,6.37,6.37,6.37,6.07,22,5620,35799.00,,INE287D01019,06-Jan-22,,
530779,DYNAMIC PORT,XT,Q,8.50,8.51,8.50,8.51,8.51,8.93,8,1064,9048.00,,INE118C01018,06-Jan-22,,
530787,INLAND PRINT,X ,Q,33.35,33.35,30.25,30.30,30.25,31.80,20,3861,122135.00,,INE055O01033,06-Jan-22,,
530789,CEEJAY FINAN,X ,Q,96.80,96.80,92.00,92.25,96.50,96.80,10,153,14424.00,,INE358C01010,06-Jan-22,,
530795,SUNCITY SYNT,XT,Q,11.91,11.91,11.90,11.91,11.91,11.35,34,4229,50362.00,,INE584D01019,06-Jan-22,,
530797,SHREE GANES.,XT,Q,18.65,18.65,17.05,18.60,18.60,17.80,28,1720,31762.00,,INE400N01017,06-Jan-22,,
530803,BHAGIL      ,B ,Q,264.00,264.00,250.90,257.50,257.90,260.30,242,2847,726490.00,,INE354C01027,06-Jan-22,,
530809,BNR UDYOG   ,X ,Q,24.65,25.80,24.65,25.80,25.80,24.65,14,886,22712.00,,INE355C01016,06-Jan-22,,
530813,KRBL LTD.   ,A ,Q,260.50,264.60,256.05,261.30,261.30,263.70,2391,56515,14689623.00,,INE001B01026,06-Jan-22,,
530815,REFNOL RESIN,X ,Q,34.00,36.55,32.90,34.35,34.35,35.55,11,409,13979.00,,INE428C01011,06-Jan-22,,
530821,SSPDL LTD   ,XT,Q,23.55,23.55,22.50,22.50,22.50,23.60,11,3650,82230.00,,INE838C01011,06-Jan-22,,
530825,DAIKAFFIL CH,X ,Q,29.75,30.25,29.20,29.30,29.30,29.75,42,5924,174876.00,,INE789B01018,06-Jan-22,,
530829,CIL SECURITS,X ,Q,35.20,35.20,30.75,32.35,32.35,32.65,114,18134,587257.00,,INE830A01012,06-Jan-22,,
530839,CLIO INFOTEC,XT,Q,14.01,14.01,14.01,14.01,14.01,14.74,480,48479,679190.00,,INE011B01017,06-Jan-22,,
530843,CUPID LTD   ,B ,Q,216.00,227.65,216.00,225.45,223.60,223.00,482,7460,1663956.00,,INE509F01011,06-Jan-22,,
530845,SUNSHIELD CH,X ,Q,515.00,539.00,506.10,529.65,525.00,508.35,386,18635,9846891.00,,INE199E01014,06-Jan-22,,
530853,HIPOLIN LTD.,XT,Q,44.10,44.10,44.10,44.10,44.10,42.00,1,2,88.00,,INE963A01011,06-Jan-22,,
530871,CHEMBOND CHM,B ,Q,215.30,219.65,215.25,217.30,219.50,220.10,103,1455,316082.00,,INE995D01025,06-Jan-22,,
530879,CIFL        ,X ,Q,123.00,123.00,118.45,120.00,120.00,123.65,13,184,22398.00,,INE345H01016,06-Jan-22,,
530883,SUPER CROP. ,X ,Q,8.60,8.76,8.20,8.54,8.58,8.62,335,107765,912887.00,,INE366G01022,06-Jan-22,,
530889,ALKA INDIA  ,XT,Q,3.82,3.82,3.82,3.82,3.82,3.64,890,1172963,4480718.00,,INE061B01020,06-Jan-22,,
530897,N.G.IND.LTD.,X ,Q,69.30,69.30,65.00,67.00,67.00,68.45,10,522,35615.00,,INE825C01018,06-Jan-22,,
530899,ASIA PACK   ,X ,Q,19.95,19.95,19.95,19.95,19.95,19.95,2,2,39.00,,INE784M01016,06-Jan-22,,
530915,J.R.FOODS   ,XT,Q,9.25,9.25,8.93,8.93,8.93,9.40,71,9341,83452.00,,INE989E01018,06-Jan-22,,
530919,REMSONS IND.,B ,Q,227.00,235.00,223.15,229.80,235.00,224.60,66,1138,256521.00,,INE474C01015,06-Jan-22,,
530925,RAMSONS PROJ,XT,Q,18.00,18.90,18.00,18.90,18.90,18.00,7,1339,24955.00,,INE609D01014,06-Jan-22,,
530951,RAMINFO     ,X ,Q,141.00,143.95,137.50,137.50,137.50,152.75,1625,174207,24200737.00,,INE357B01022,06-Jan-22,,
530953,SUNIL AGRO F,X ,Q,155.00,160.95,155.00,157.45,160.00,154.40,81,3563,565538.00,,INE224D01012,06-Jan-22,,
530959,DIANA TEA CO,X ,Q,26.65,28.20,26.60,27.85,27.85,26.55,358,102856,2833637.00,,INE012E01035,06-Jan-22,,
530961,VIKASECO    ,B ,Q,3.63,3.64,3.56,3.64,3.64,3.47,1940,6623722,24036487.00,,INE806A01020,06-Jan-22,,
530965,INDIAN OIL  ,A ,Q,117.00,117.60,115.25,117.25,117.25,117.25,7808,701740,81761947.00,,INE242A01010,06-Jan-22,,
530973,ALFA ICA (I),XT,Q,53.90,53.90,49.05,49.05,49.05,51.60,14,561,28188.00,,INE042C01010,06-Jan-22,,
530977,SKCIL       ,X ,Q,58.30,61.90,58.30,60.40,60.10,60.65,27,1501,91248.00,,INE260E01014,06-Jan-22,,
530979,INDIA HOME  ,X ,Q,38.70,40.00,38.00,39.80,39.80,39.15,77,14837,579173.00,,INE274E01015,06-Jan-22,,
530991,ROOPA INDUS ,X ,Q,27.00,27.65,26.00,26.95,27.50,26.35,121,14979,406566.00,,INE443C01010,06-Jan-22,,
530997,UNIQUE ORGAN,X ,Q,16.45,16.95,16.45,16.45,16.45,16.85,6,303,4985.00,,INE333E01019,06-Jan-22,,
530999,BALAJI AMINE,A ,Q,3700.00,3791.00,3580.35,3721.90,3721.90,3685.05,2228,8485,31209316.00,,INE050E01027,06-Jan-22,,
531017,ARIHANT SEC.,X ,Q,12.79,12.79,12.16,12.16,12.16,12.79,11,495,6322.00,,INE190D01015,06-Jan-22,,
531025,VISAGAR FIN ,XT,Q,10.16,10.16,9.70,10.16,10.16,9.68,2718,1243131,12560659.00,,INE309H01020,06-Jan-22,,
531027,LIBORD SEC  ,X ,Q,10.38,10.38,9.48,10.38,10.38,9.89,35,3486,36183.00,,INE267E01019,06-Jan-22,,
531041,COMPETENT AU,X ,Q,174.05,174.05,165.00,168.00,168.00,176.95,220,19979,3421272.00,,INE823B01015,06-Jan-22,,
531043,DHAN JEEVAN ,XT,Q,15.59,15.59,14.95,15.59,15.59,14.85,66,7705,119902.00,,INE239F01015,06-Jan-22,,
531049,NEELKANTH RO,Z ,Q,11.72,11.72,11.72,11.72,11.72,11.17,6,3304,38722.00,,INE741D01015,06-Jan-22,,
531051,VINTAGE SECU,X ,Q,7.80,7.80,7.79,7.79,7.79,7.50,18,1524,11878.00,,INE153C01015,06-Jan-22,,
531067,CONTIL I LTD,XT,Q,60.95,61.20,60.00,61.20,61.20,58.30,56,4282,261417.00,,INE080G01011,06-Jan-22,,
531069,VIJAY SOLVEX,XT,Q,2199.00,2199.00,2146.00,2186.60,2181.00,2190.95,110,393,854754.00,,INE362D01010,06-Jan-22,,
531080,SHRI KRISH  ,XT,Q,34.40,34.40,34.40,34.40,34.40,36.20,71,4167,143344.00,,INE997I01012,06-Jan-22,,
531082,ALANKIT     ,B ,Q,16.50,16.50,15.45,15.50,15.50,15.80,569,154911,2413857.00,,INE914E01040,06-Jan-22,,
531083,NIHAR INFO  ,XT,Q,19.15,19.15,19.15,19.15,19.15,20.15,91,13190,252588.00,,INE876E01033,06-Jan-22,,
531091,UNITED CRED.,X ,Q,12.85,12.87,11.66,12.87,12.87,12.26,15,9758,125004.00,,INE858C01027,06-Jan-22,,
531092,OMINFRAL    ,B ,Q,37.60,42.00,37.60,41.35,41.75,38.65,637,89647,3658782.00,,INE239D01028,06-Jan-22,,
531109,ISHAN DYES  ,X ,Q,97.00,102.80,94.05,100.75,100.55,96.50,300,28074,2785711.00,,INE561M01018,06-Jan-22,,
531111,GOTHI PLASCO,P ,Q,22.05,22.05,22.05,22.05,22.05,22.00,1,100,2205.00,,INE538G01018,06-Jan-22,,
531112,BALUFORGE   ,X ,Q,121.50,125.00,118.90,123.30,124.80,125.05,612,358053,43049526.00,,INE011E01029,06-Jan-22,,
531120,PATEL ENGG. ,T ,Q,31.10,32.45,31.10,31.40,31.40,31.05,511,169250,5349319.00,,INE244B01030,06-Jan-22,,
531129,INANI MARBLE,X ,Q,25.00,26.70,24.80,26.60,26.70,25.70,91,17664,458444.00,,INE635D01027,06-Jan-22,,
531137,GEMSTONE INV,XT,Q,1.88,2.06,1.88,2.04,2.05,1.97,463,771586,1466511.00,,INE503D01027,06-Jan-22,,
531146,MEDICAMEN BI,B ,Q,950.05,961.00,934.05,953.80,953.80,966.40,302,3298,3136266.00,,INE646B01010,06-Jan-22,,
531147,ALICON      ,B ,Q,816.00,840.00,806.15,835.25,835.00,812.00,350,3189,2625245.00,,INE062D01024,06-Jan-22,,
531153,DILIGENT    ,XT,Q,15.21,15.25,13.90,14.70,15.25,14.56,51,3614,54233.00,,INE650C01028,06-Jan-22,,
531155,EPSOM PRO   ,X ,Q,5.65,5.65,5.50,5.50,5.50,5.39,12,1681,9300.00,,INE601F01016,06-Jan-22,,
531156,ALFAVISON.OV,X ,Q,122.60,122.70,122.40,122.45,122.40,122.60,105,14275,1749303.00,,INE883B01019,06-Jan-22,,
531157,ORGANIC COAT,X ,Q,7.35,7.35,7.35,7.35,7.35,7.00,13,3750,27562.00,,INE412E01011,06-Jan-22,,
531158,CATVISION   ,XT,Q,12.40,12.40,12.05,12.40,12.40,11.81,73,12788,158362.00,,INE660B01011,06-Jan-22,,
531161,ABM KNOWLEDG,X ,Q,127.45,134.40,123.05,131.75,131.75,126.05,332,29665,3859210.00,,INE850B01026,06-Jan-22,,
531162,EMAMI LTD.  ,A ,Q,508.55,522.85,505.40,518.55,520.50,511.30,1658,20603,10659467.00,,INE548C01032,06-Jan-22,,
531163,KEMISTAR    ,X ,Q,43.95,43.95,38.25,41.95,41.95,41.05,16,330,13826.00,,INE971L01029,06-Jan-22,,
531169,SKP SECURE. ,X ,Q,72.55,75.90,71.15,71.25,71.25,72.90,9,826,59843.00,,INE709B01016,06-Jan-22,,
531172,PRANAV.SPIN ,X ,Q,32.75,33.30,32.65,32.85,33.30,30.30,16,732,23958.00,,INE569D01028,06-Jan-22,,
531173,SYSCHEM (I) ,XT,Q,17.30,17.30,16.10,16.90,17.15,16.80,89,21243,352172.00,,INE121D01036,06-Jan-22,,
531175,BLS INFOTE  ,X ,Q,0.75,0.75,0.75,0.75,0.75,0.72,12,94614,70960.00,,INE606B01022,06-Jan-22,,
531176,MEFCOM CAPIT,XT,Q,50.20,50.20,47.00,49.90,49.90,48.95,45,2116,104136.00,,INE186C01015,06-Jan-22,,
531178,HEMANG      ,X ,Q,3.16,3.16,3.16,3.16,3.16,3.27,1,300,948.00,,INE930A01010,06-Jan-22,,
531179,ARMAN FIN   ,B ,Q,869.75,875.60,851.00,859.00,855.00,875.85,386,1662,1433371.00,,INE109C01017,06-Jan-22,,
531190,TAVERNIER   ,X ,Q,8.50,8.50,8.50,8.50,8.50,8.30,2,519,4411.00,,INE355H01015,06-Jan-22,,
531196,GAGAN POLYCO,XT,Q,2.82,3.10,2.82,3.02,3.02,2.96,31,30762,89354.00,,INE297L01011,06-Jan-22,,
531198,DHANADACOL  ,XT,Q,5.15,5.47,5.15,5.22,5.22,5.21,27,21365,116638.00,,INE041F01015,06-Jan-22,,
531199,GLANCE FIN. ,X ,Q,56.65,56.65,56.65,56.65,56.65,56.65,1,1,56.00,,INE580D01017,06-Jan-22,,
531201,SHILCHAR TEC,X ,Q,249.95,250.00,235.05,247.95,247.95,238.50,12,361,88211.00,,INE024F01011,06-Jan-22,,
531205,TINEAGRO    ,P ,Q,8.25,8.25,8.25,8.25,8.25,7.86,7,3800,31350.00,,INE179O01015,06-Jan-22,,
531209,NUCLE.SOFT E,B ,Q,562.15,574.35,560.05,566.60,563.35,564.50,653,5273,2985272.00,,INE096B01018,06-Jan-22,,
531210,COLINZ LABOR,XT,Q,31.30,31.30,28.40,31.30,31.30,29.85,48,4284,133338.00,,INE923C01011,06-Jan-22,,
531211,WELLNESS    ,P ,Q,12.17,12.17,12.17,12.17,12.17,12.17,1,500,6085.00,,INE571H01017,06-Jan-22,,
531212,NLFL        ,X ,Q,37.45,37.50,32.75,34.95,34.90,34.90,48,8496,298205.00,,INE606C01012,06-Jan-22,,
531213,MANAP FIN   ,A ,Q,166.00,167.60,163.65,166.95,166.95,166.80,924,71503,11842464.00,,INE522D01027,06-Jan-22,,
531215,RTS POWER CO,X ,Q,77.85,77.90,73.10,75.45,75.65,75.25,79,6832,519147.00,,INE005C01017,06-Jan-22,,
531216,COMFORT INTE,X ,Q,30.90,30.90,28.80,30.05,29.50,30.00,174,79050,2368668.00,,INE819A01031,06-Jan-22,,
531221,MAYUR FLOOR.,XT,Q,6.06,6.06,6.06,6.06,6.06,5.78,11,3048,18470.00,,INE262W01012,06-Jan-22,,
531223,ANJANI SYNT.,X ,Q,42.45,43.45,38.00,42.80,42.80,40.10,717,104275,4292651.00,,INE364D01032,06-Jan-22,,
531225,XTGLOBAL    ,X ,Q,48.50,49.50,47.10,47.40,47.20,48.95,478,124098,6012962.00,,INE547B01028,06-Jan-22,,
531228,RANDER CORP.,X ,Q,8.04,8.04,8.04,8.04,8.04,8.20,5,157,1262.00,,INE821D01031,06-Jan-22,,
531233,RASI ELECTRO,X ,Q,12.00,12.47,11.88,12.47,12.47,11.88,556,307089,3799036.00,,INE822D01021,06-Jan-22,,
531234,SCOOBEEDAY  ,X ,Q,158.00,165.00,152.00,156.70,158.00,155.20,49,6026,952073.00,,INE962E01015,06-Jan-22,,
531235,CITI PORT FN,XT,Q,17.60,17.60,17.60,17.60,17.60,16.80,11,410,7216.00,,INE494D01011,06-Jan-22,,
531237,DHRUVA CAP. ,X ,Q,5.23,5.23,5.23,5.23,5.23,4.99,2,101,528.00,,INE972E01014,06-Jan-22,,
531240,SHAMROCK IND,XT,Q,9.18,9.18,9.18,9.18,9.18,8.75,5,4750,43605.00,,INE022F01015,06-Jan-22,,
531241,LINC        ,B ,Q,235.05,255.00,235.05,240.65,246.00,233.95,178,3162,771319.00,,INE802B01019,06-Jan-22,,
531246,PRIMA IND.  ,XT,Q,26.70,26.70,25.30,25.75,25.75,26.45,11,323,8352.00,,INE723N01012,06-Jan-22,,
531252,ANERI       ,XT,Q,5.35,5.35,5.35,5.35,5.35,5.35,18,2778,14862.00,,INE720D01019,06-Jan-22,,
